editor,platform,project,relative_file,language,event_time
VSCode,Linux 5.10,02-Migrations [WSL: Ubuntu],db/migrate/20231208183520_add_votes.rb,ruby,1702060620000
VSCode,Linux 5.10,02-Migrations [WSL: Ubuntu],db/migrate/20231208183520_add_votes.rb,ruby,1702060680000
VSCode,Linux 5.10,02-Migrations [WSL: Ubuntu],db/migrate/20231208183520_add_votes.rb,ruby,1702060740000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702060980000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702061040000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/models/post.rb,ruby,1702061100000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/models/post.rb,ruby,1702061160000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/views/posts_view.rb,ruby,1702061220000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/controllers/posts_controller.rb,ruby,1702061280000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/controllers/posts_controller.rb,ruby,1702061340000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/controllers/posts_controller.rb,ruby,1702061400000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702061460000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/controllers/posts_controller.rb,ruby,1702061520000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/controllers/posts_controller.rb,ruby,1702061580000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/controllers/posts_controller.rb,ruby,1702061640000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/controllers/posts_controller.rb,ruby,1702061700000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/controllers/posts_controller.rb,ruby,1702061760000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/controllers/posts_controller.rb,ruby,1702061820000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/controllers/posts_controller.rb,ruby,1702061880000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/controllers/posts_controller.rb,ruby,1702061940000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/views/posts_view.rb,ruby,1702062000000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/views/posts_view.rb,ruby,1702062060000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/controllers/posts_controller.rb,ruby,1702062120000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/controllers/posts_controller.rb,ruby,1702062180000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/controllers/posts_controller.rb,ruby,1702062240000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/controllers/posts_controller.rb,ruby,1702062300000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/controllers/posts_controller.rb,ruby,1702062360000
VSCode,Linux 5.10,03-Models [WSL: Ubuntu],app/controllers/posts_controller.rb,ruby,1702062420000
VSCode,Linux 5.10,04-Seed-Faker [WSL: Ubuntu],db/seeds.rb,ruby,1702062540000
VSCode,Linux 5.10,04-Seed-Faker [WSL: Ubuntu],db/seeds.rb,ruby,1702062600000
VSCode,Linux 5.10,04-Seed-Faker [WSL: Ubuntu],db/seeds.rb,ruby,1702062660000
VSCode,Linux 5.10,04-Seed-Faker [WSL: Ubuntu],db/seeds.rb,ruby,1702062780000
VSCode,Linux 5.10,04-Seed-Faker [WSL: Ubuntu],db/seeds.rb,ruby,1702062840000
VSCode,Linux 5.10,04-Seed-Faker [WSL: Ubuntu],db/seeds.rb,ruby,1702062900000
VSCode,Linux 5.10,04-Seed-Faker [WSL: Ubuntu],db/seeds.rb,ruby,1702062960000
VSCode,Linux 5.10,04-Seed-Faker [WSL: Ubuntu],db/seeds.rb,ruby,1702063020000
VSCode,Linux 5.10,04-Seed-Faker [WSL: Ubuntu],db/seeds.rb,ruby,1702063080000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],app/models/post.rb,ruby,1702063320000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702064340000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702064400000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702064520000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702064640000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],db/migrate/20231208194526_create_users.rb,ruby,1702064700000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],db/migrate/20231208194526_create_users.rb,ruby,1702064760000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],db/migrate/20231208194526_create_users.rb,ruby,1702064820000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],app/models/user.rb,ruby,1702064880000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],app/models/user.rb,ruby,1702064940000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],app/models/post.rb,ruby,1702065000000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],app/models/post.rb,ruby,1702065060000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],db/migrate/20231208195452_join_users_to_posts.rb,ruby,1702065300000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],app/models/post.rb,ruby,1702065120000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],app/models/post.rb,ruby,1702065180000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],db/migrate/20231208194526_create_users.rb,ruby,1702065240000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],db/seeds.rb,ruby,1702065360000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],db/seeds.rb,ruby,1702065420000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],db/seeds.rb,ruby,1702065480000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],db/seeds.rb,ruby,1702065540000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],db/seeds.rb,ruby,1702065600000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],db/seeds.rb,ruby,1702065660000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],db/seeds.rb,ruby,1702065720000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],db/seeds.rb,ruby,1702065780000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],db/seeds.rb,ruby,1702065840000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],config/database.yml,yaml,1702065900000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/user.rb,ruby,1702071660000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/user.rb,ruby,1702071720000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/user.rb,ruby,1702071780000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/user.rb,ruby,1702071840000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/user.rb,ruby,1702071900000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/user.rb,ruby,1702071960000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/user.rb,ruby,1702072020000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/user.rb,ruby,1702072080000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/user.rb,ruby,1702072140000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/user.rb,ruby,1702072200000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/user.rb,ruby,1702072260000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/user.rb,ruby,1702072320000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/user.rb,ruby,1702072380000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],[other workspace],ruby,1702072440000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],[other workspace],ruby,1702072500000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],[other workspace],ruby,1702072620000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/post.rb,ruby,1702072680000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/post.rb,ruby,1702072740000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/post.rb,ruby,1702072800000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/post.rb,ruby,1702072860000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/post.rb,ruby,1702072920000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/post.rb,ruby,1702072980000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/post.rb,ruby,1702073040000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/post.rb,ruby,1702073100000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/user.rb,ruby,1702073160000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/user.rb,ruby,1702073220000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/user.rb,ruby,1702073280000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/post.rb,ruby,1702073340000
VSCode,Linux 5.10,02-Validations [WSL: Ubuntu],app/models/post.rb,ruby,1702073400000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],03-Sinatra/app/models/user copy.rb,ruby,1702073580000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],03-Sinatra/app/models/user.rb,ruby,1702073640000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],03-Sinatra/lib/app.rb,ruby,1702073700000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/layout.erb,erb,1702073760000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],lib/app.rb,ruby,1702073820000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702073880000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],lib/app.rb,ruby,1702073940000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702074000000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],db/seeds.rb,ruby,1702074060000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/models/user.rb,ruby,1702074120000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702074180000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702074240000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702074300000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702074360000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702074480000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702074420000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702074540000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702074600000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702074660000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702074720000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702074780000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702074840000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702075020000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702074900000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702074960000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702075080000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702075140000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702075200000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702075260000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702075320000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702075380000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702075440000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702075500000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702075620000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702075560000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702075680000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702075740000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702075800000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702075860000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702075920000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702075980000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702076040000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702076100000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/post.erb,erb,1702076160000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/post.erb,erb,1702076220000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/post.erb,erb,1702076280000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/post.erb,erb,1702076340000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/post.erb,erb,1702076400000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/post.erb,erb,1702076460000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/post.erb,erb,1702076520000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/post.erb,erb,1702076580000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/post.erb,erb,1702076640000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/post.erb,erb,1702076700000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/post.erb,erb,1702076760000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/post.erb,erb,1702076820000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702076880000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702076940000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/post.erb,erb,1702077000000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702077060000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702077300000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702077120000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702077180000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702077240000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702077360000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702077420000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702077480000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702077540000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],db/seeds.rb,ruby,1702077720000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702077600000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702077660000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],db/seeds.rb,ruby,1702077780000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],03-Sinatra/lib/app.rb,ruby,1702077840000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],03-Sinatra/db/seeds.rb,ruby,1702077900000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],03-Sinatra/db/seeds.rb,ruby,1702077960000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],03-Sinatra/db/seeds.rb,ruby,1702078020000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],03-Sinatra/db/seeds.rb,ruby,1702078080000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],03-Sinatra/db/seeds.rb,ruby,1702078140000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],03-Sinatra/app/views/posts.erb,erb,1702078200000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702078260000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702078320000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702078380000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702078440000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702078500000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702078560000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702078620000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/user.erb,erb,1702078680000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702078740000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],lib/app.rb,ruby,1702078800000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],lib/app.rb,ruby,1702078860000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702078920000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],lib/app.rb,ruby,1702079160000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],app/views/posts.erb,erb,1702078980000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],lib/app.rb,ruby,1702079040000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],lib/app.rb,ruby,1702079100000
VSCode,Linux 5.10,03-Sinatra [WSL: Ubuntu],lib/app.rb,ruby,1702079220000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/seeds.rb,ruby,1702118640000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/migrate/20231208195452_join_users_to_posts.rb,ruby,1702118700000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],03-Sinatra/app/views/layout.erb,erb,1702118760000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],03-Sinatra/app/views/layout.erb,erb,1702118820000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],03-Sinatra/app/views/layout.erb,erb,1702119000000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],03-Sinatra/app/views/layout.erb,erb,1702119060000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],03-Sinatra/app/views/layout.erb,erb,1702119120000
VSCode,Linux 5.10,wellness-logging [WSL: Ubuntu],lib/controllers/main_controller.py,python,1702119180000
VSCode,Linux 5.10,wellness-logging [WSL: Ubuntu],lib/controllers/main_controller.py,python,1702119240000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/seeds.rb,ruby,1702119420000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/seeds.rb,ruby,1702119480000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/seeds.rb,ruby,1702119660000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/seeds.rb,ruby,1702119720000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/seeds.rb,ruby,1702119780000
VSCode,Linux 5.10,wellness-logging [WSL: Ubuntu],lib/controllers/main_controller.py,python,1702120800000
VSCode,Linux 5.10,wellness-logging [WSL: Ubuntu],lib/controllers/main_controller.py,python,1702120860000
VSCode,Linux 5.10,wellness-logging [WSL: Ubuntu],lib/controllers/main_controller.py,python,1702121100000
VSCode,Linux 5.10,wellness-logging [WSL: Ubuntu],lib/controllers/main_controller.py,python,1702121220000
VSCode,Linux 5.10,wellness-logging [WSL: Ubuntu],lib/controllers/main_controller.py,python,1702121280000
VSCode,Linux 5.10,wellness-logging [WSL: Ubuntu],lib/controllers/main_controller.py,python,1702121340000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/seeds.rb,ruby,1702121400000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/migrate/20231208194526_create_users.rb,ruby,1702121460000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/migrate/20231208194526_create_users.rb,ruby,1702121700000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/migrate/20231208194526_create_users.rb,ruby,1702121760000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/migrate/20231208194526_create_users.rb,ruby,1702121820000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/migrate/20231208194526_create_users.rb,ruby,1702121880000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/migrate/20231208195452_join_users_to_posts.rb,ruby,1702121940000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/migrate/20231208195452_join_users_to_posts.rb,ruby,1702122000000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/migrate/20231208195452_join_users_to_posts.rb,ruby,1702122060000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/app/models/user.rb,ruby,1702122120000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/migrate/20231208195452_join_users_to_posts.rb,ruby,1702122180000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/schema.rb,ruby,1702122240000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/schema.rb,ruby,1702122300000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/schema.rb,ruby,1702122360000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/db/schema.rb,ruby,1702122420000
VSCode,Linux 5.10,wellness-logging [WSL: Ubuntu],lib/controllers/main_controller.py,python,1702122480000
VSCode,Linux 5.10,wellness-logging [WSL: Ubuntu],lib/controllers/main_controller.py,python,1702122540000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/app/models/post.rb,ruby,1702122600000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],01-Associations/spec/models/user_spec.rb,ruby,1702122660000
VSCode,Linux 5.10,wellness-logging [WSL: Ubuntu],lib/controllers/main_controller.py,python,1702122720000
VSCode,Linux 5.10,04-ActiveRecord-Advanced [WSL: Ubuntu],03-Sinatra/app/views/layout.erb,erb,1702122780000
VSCode,Linux 5.10,wellness-logging [WSL: Ubuntu],lib/controllers/main_controller.py,python,1702123620000
VSCode,Linux 5.10,wellness-logging [WSL: Ubuntu],lib/visualization/plotter.py,python,1702123680000
VSCode,Linux 5.10,wellness-logging [WSL: Ubuntu],lib/visualization/plotter.py,python,1702123740000
VSCode,Linux 5.10,wellness-logging [WSL: Ubuntu],lib/controllers/main_controller.py,python,1702123800000
